snr,seed,method,classifier,accuracy,macro_f1,f1_point,f1_cyst,f1_dense,best_params
30,0,AE Latent,SVM-RBF,0.34,0.33919474311140235,0.32701421800947866,0.3832923832923833,0.30727762803234504,"{'C': 1.0, 'gamma': 0.1}"
30,0,PCA,Logistic Regression,0.36833333333333335,0.36754191642450257,0.3229166666666667,0.40198511166253104,0.37772397094430993,{'C': 1.0}
30,0,PCA,Random Forest,0.3433333333333333,0.3430585269862168,0.34328358208955223,0.3155216284987277,0.37037037037037035,"{'max_depth': 20, 'n_estimators': 200}"
30,0,PCA,SVM-RBF,0.37166666666666665,0.37165439019011676,0.33668341708542715,0.391644908616188,0.38663484486873506,"{'C': 0.1, 'gamma': 0.1}"
30,1,Raw RF,Logistic Regression,0.3283333333333333,0.32810955182644713,0.3193717277486911,0.340632603406326,0.32432432432432434,{'C': 0.1}
30,1,Raw RF,Random Forest,0.3883333333333333,0.38426240168400444,0.3764172335600907,0.42572062084257206,0.35064935064935066,"{'max_depth': None, 'n_estimators': 200}"
30,1,Raw RF,SVM-RBF,0.37333333333333335,0.37286622920984364,0.360313315926893,0.3932853717026379,0.365,"{'C': 0.1, 'gamma': 0.01}"
30,1,AE Latent,Logistic Regression,0.34,0.33996137891709033,0.3375959079283887,0.32673267326732675,0.35555555555555557,{'C': 1.0}
30,1,AE Latent,Random Forest,0.38333333333333336,0.3813400520311365,0.3765281173594132,0.4080717488789238,0.35942028985507246,"{'max_depth': 20, 'n_estimators': 200}"
30,1,AE Latent,SVM-RBF,0.36333333333333334,0.24785674589724324,0.056338028169014086,0.5046235138705416,0.1826086956521739,"{'C': 0.1, 'gamma': 'scale'}"
30,1,PCA,Logistic Regression,0.36833333333333335,0.3681591717578881,0.359375,0.37346437346437344,0.37163814180929094,{'C': 10.0}
30,1,PCA,Random Forest,0.3466666666666667,0.3402767683179957,0.3081232492997199,0.30684931506849317,0.40585774058577406,"{'max_depth': 10, 'n_estimators': 100}"
30,1,PCA,SVM-RBF,0.3433333333333333,0.29408054072469436,0.13076923076923078,0.2919254658385093,0.459546925566343,"{'C': 0.1, 'gamma': 0.01}"
30,2,Raw RF,Logistic Regression,0.32666666666666666,0.32644951444621434,0.3316062176165803,0.31362467866323906,0.3341176470588235,{'C': 0.1}
30,2,Raw RF,Random Forest,0.36,0.36014716230517346,0.36803874092009686,0.3524027459954233,0.36,"{'max_depth': 10, 'n_estimators': 200}"
30,2,Raw RF,SVM-RBF,0.36333333333333334,0.22551581802980605,0.0,0.5121638924455826,0.1643835616438356,"{'C': 0.1, 'gamma': 0.1}"
30,2,AE Latent,Logistic Regression,0.35833333333333334,0.3575208425439625,0.33604336043360433,0.3674418604651163,0.3690773067331671,{'C': 1.0}
30,2,AE Latent,Random Forest,0.355,0.35348728604514523,0.36533957845433257,0.3701923076923077,0.32492997198879553,"{'max_depth': 20, 'n_estimators': 200}"
30,2,AE Latent,SVM-RBF,0.37166666666666665,0.3316940915651633,0.44155844155844154,0.3891402714932127,0.1643835616438356,"{'C': 0.1, 'gamma': 0.01}"
30,2,PCA,Logistic Regression,0.3383333333333333,0.33822265559889325,0.335,0.3564356435643564,0.32323232323232326,{'C': 10.0}
30,2,PCA,Random Forest,0.37,0.37004712577801224,0.36724565756823824,0.3701923076923077,0.37270341207349084,"{'max_depth': None, 'n_estimators': 100}"
30,2,PCA,SVM-RBF,0.3333333333333333,0.3067246938332597,0.2222222222222222,0.26332288401253917,0.43462897526501765,"{'C': 10.0, 'gamma': 0.01}"
30,3,Raw RF,Logistic Regression,0.31333333333333335,0.31266911583607404,0.2819843342036554,0.3300970873786408,0.32592592592592595,{'C': 1.0}
30,3,Raw RF,Random Forest,0.38666666666666666,0.3802701946200324,0.4198645598194131,0.39732142857142855,0.32362459546925565,"{'max_depth': 10, 'n_estimators': 200}"
30,3,Raw RF,SVM-RBF,0.345,0.3452340596517929,0.31343283582089554,0.345679012345679,0.37659033078880405,"{'C': 10.0, 'gamma': 0.01}"
30,3,AE Latent,Logistic Regression,0.3433333333333333,0.34401846470254765,0.3240506329113924,0.3356643356643357,0.3723404255319149,{'C': 10.0}
30,3,AE Latent,Random Forest,0.36666666666666664,0.3664373051700088,0.3405275779376499,0.38990825688073394,0.3688760806916426,"{'max_depth': 20, 'n_estimators': 200}"
30,3,AE Latent,SVM-RBF,0.37166666666666665,0.31343834042554625,0.29518072289156627,0.48297213622291024,0.16216216216216217,"{'C': 0.1, 'gamma': 'scale'}"
30,3,PCA,Logistic Regression,0.31666666666666665,0.3165571767483683,0.32019704433497537,0.3217821782178218,0.3076923076923077,{'C': 1.0}
30,3,PCA,Random Forest,0.33,0.3286076579212656,0.2804232804232804,0.33251833740831294,0.3728813559322034,"{'max_depth': 10, 'n_estimators': 200}"
30,3,PCA,SVM-RBF,0.31333333333333335,0.313044505110595,0.29901960784313725,0.3286384976525822,0.3114754098360656,"{'C': 0.1, 'gamma': 0.1}"
30,4,Raw RF,Logistic Regression,0.36833333333333335,0.3676141113344868,0.3891625615763547,0.32642487046632124,0.3872549019607843,{'C': 10.0}
30,4,Raw RF,Random Forest,0.33666666666666667,0.3299552870664158,0.34022988505747126,0.3714902807775378,0.2781456953642384,"{'max_depth': 10, 'n_estimators': 200}"
30,4,Raw RF,SVM-RBF,0.36,0.22183585060297387,0.0,0.5102564102564102,0.1552511415525114,"{'C': 0.1, 'gamma': 0.1}"
30,4,AE Latent,Logistic Regression,0.33166666666666667,0.3316170325526407,0.33816425120772947,0.30886075949367087,0.34782608695652173,{'C': 0.1}
30,4,AE Latent,Random Forest,0.3616666666666667,0.35496558505408066,0.39823008849557523,0.36363636363636365,0.30303030303030304,"{'max_depth': 10, 'n_estimators': 200}"
30,4,AE Latent,SVM-RBF,0.3883333333333333,0.3712855362879968,0.4522417153996101,0.37264150943396224,0.2889733840304182,"{'C': 10.0, 'gamma': 'scale'}"
30,4,PCA,Logistic Regression,0.335,0.33458799516745086,0.35294117647058826,0.30256410256410254,0.3482587064676617,{'C': 10.0}
30,4,PCA,Random Forest,0.3616666666666667,0.3594760507068722,0.39909297052154197,0.34413965087281795,0.33519553072625696,"{'max_depth': None, 'n_estimators': 200}"
30,4,PCA,SVM-RBF,0.33166666666666667,0.331231290893051,0.33980582524271846,0.3064935064935065,0.34739454094292804,"{'C': 0.1, 'gamma': 'scale'}"
40,0,Raw RF,Logistic Regression,0.35333333333333333,0.3524903045394751,0.31876606683804626,0.3875598086124402,0.3511450381679389,{'C': 1.0}
40,0,Raw RF,Random Forest,0.335,0.3348161993251681,0.32701421800947866,0.341991341991342,0.33544303797468356,"{'max_depth': 20, 'n_estimators': 100}"
40,0,Raw RF,SVM-RBF,0.37833333333333335,0.3790703552347046,0.3462532299741602,0.37272727272727274,0.41823056300268097,"{'C': 10.0, 'gamma': 'scale'}"
40,0,AE Latent,Logistic Regression,0.365,0.36453708267547197,0.33668341708542715,0.3645833333333333,0.3923444976076555,{'C': 0.1}
40,0,AE Latent,Random Forest,0.36,0.35787974626322033,0.3627684964200477,0.39243498817966904,0.31843575418994413,"{'max_depth': 20, 'n_estimators': 100}"
40,0,AE Latent,SVM-RBF,0.3433333333333333,0.34356641779039326,0.32273838630806845,0.3541147132169576,0.35384615384615387,"{'C': 10.0, 'gamma': 0.01}"
40,0,PCA,Logistic Regression,0.31833333333333336,0.31585818248487557,0.2917771883289125,0.37155963302752293,0.2842377260981912,{'C': 0.1}
40,0,PCA,Random Forest,0.36,0.3612162132132666,0.3294663573085847,0.37745098039215685,0.3767313019390582,"{'max_depth': 20, 'n_estimators': 200}"
40,0,PCA,SVM-RBF,0.365,0.3399203917313787,0.2578616352201258,0.29003021148036257,0.47186932849364793,"{'C': 10.0, 'gamma': 0.01}"
40,1,Raw RF,Logistic Regression,0.3283333333333333,0.32819381035151846,0.3140096618357488,0.3564356435643564,0.31413612565445026,{'C': 10.0}
40,1,Raw RF,Random Forest,0.38333333333333336,0.3820631664935226,0.39631336405529954,0.38571428571428573,0.36416184971098264,"{'max_depth': 20, 'n_estimators': 100}"
40,1,Raw RF,SVM-RBF,0.355,0.2982368871939424,0.2331288343558282,0.4723926380368098,0.1891891891891892,"{'C': 0.1, 'gamma': 'scale'}"
40,1,AE Latent,Logistic Regression,0.365,0.36453143419107353,0.40384615384615385,0.32754342431761785,0.36220472440944884,{'C': 10.0}
40,1,AE Latent,Random Forest,0.36333333333333334,0.362091580662043,0.38425925925925924,0.3583535108958838,0.3436619718309859,"{'max_depth': None, 'n_estimators': 100}"
40,1,AE Latent,SVM-RBF,0.3933333333333333,0.3531209764583379,0.4584103512014787,0.4191343963553531,0.18181818181818182,"{'C': 0.1, 'gamma': 0.01}"
40,1,PCA,Logistic Regression,0.33166666666666667,0.3310616720552088,0.3089005235602094,0.3501199040767386,0.3341645885286783,{'C': 10.0}
40,1,PCA,Random Forest,0.385,0.3818489805805629,0.3342618384401114,0.3486682808716707,0.46261682242990654,"{'max_depth': 10, 'n_estimators': 100}"
40,1,PCA,SVM-RBF,0.32166666666666666,0.30637435056431556,0.23738872403560832,0.27167630057803466,0.41005802707930367,"{'C': 1.0, 'gamma': 0.1}"
40,2,Raw RF,Logistic Regression,0.3283333333333333,0.3276926043051622,0.29842931937172773,0.33170731707317075,0.35294117647058826,{'C': 10.0}
40,2,Raw RF,Random Forest,0.37833333333333335,0.3775425652949133,0.36771300448430494,0.39906103286384975,0.36585365853658536,"{'max_depth': None, 'n_estimators': 100}"
40,2,Raw RF,SVM-RBF,0.36333333333333334,0.22551581802980605,0.0,0.5121638924455826,0.1643835616438356,"{'C': 0.1, 'gamma': 0.1}"
40,2,AE Latent,Logistic Regression,0.38166666666666665,0.3823146040046357,0.3826530612244898,0.3469879518072289,0.4173027989821883,{'C': 1.0}
40,2,AE Latent,Random Forest,0.355,0.3525783544812318,0.3364485981308411,0.39101123595505616,0.3302752293577982,"{'max_depth': 10, 'n_estimators': 200}"
40,2,AE Latent,SVM-RBF,0.34833333333333333,0.3141810188524002,0.37656903765690375,0.40159045725646125,0.1643835616438356,"{'C': 0.1, 'gamma': 0.1}"
40,2,PCA,Logistic Regression,0.3566666666666667,0.35672467246724676,0.3787878787878788,0.33,0.3613861386138614,{'C': 1.0}
40,2,PCA,Random Forest,0.335,0.324606473354449,0.2808022922636103,0.2898550724637681,0.4031620553359684,"{'max_depth': 10, 'n_estimators': 200}"
